Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
O        40.059
 
Ge(OH)PO4    Ge2 P2 O10 H3
Ge       39.229
P        16.734
O        43.220
H         0.817
 
Sanidine    K (Al Si3) O8
K        14.047
Al        9.694
Si       30.272
O        45.987
 
Sanidine    K (Al Si3) O8
K        14.047
Al        9.694
Si       30.272
O        45.987
 
(V.75Ni.25)SO4*6H2O    (V.75 Ni.25) S O10 H12
V        14.864
Ni        5.708
S        12.475
O        62.246
H         4.706
 
Wenkite    Ba3.96 Ca4.92 Al13.018 Si6.982 O51.74 S3 H6
Ba       24.514
Ca        8.889
Al       15.833
Si        8.839
O        37.316
S         4.336
H         0.273
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Serandite    Mn2 Na Si3 O9 H
Mn       30.342
Na        6.349
Si       23.267
O        39.764
H         0.278
 
Banalsite    Ba Na2 (Al4 Si4) O16
Ba       20.821
Na        6.971
Al       16.363
Si       17.033
O        38.812
 
Gibbsite    Al O3 H3
Al       34.590
O        61.533
H         3.877
 
Cosalite    Bi4 Pb4 S10 Cu.12
Bi       41.943
Pb       41.585
S        16.089
Cu        0.383
 
Jordanite    Pb13.88 As6 S23
Pb       70.784
As       11.064
S        18.152
 
Plagionite    Pb5 Sb8 S17
Pb       40.546
Sb       38.120
S        21.334
 
Samsonite    Mn Sb2 Ag4 S6
Mn        5.957
Sb       26.401
Ag       46.782
S        20.860
 
Hg3(PO4)2    Hg3 P2 O8
Hg       76.009
P         7.824
O        16.167
 
Zinkenite    Pb4.51 Sb10.5 S20.25
Pb       32.649
Sb       44.664
S        22.687
 
SiO8C8H12    Si O8 C8
Si       11.138
O        50.758
C        38.105
 
CaNH4P3O9    Ca N P3 O9
Ca       13.772
N         4.813
P        31.932
O        49.483
 
Ni2SiO4    (Ni2 Si) O4
Ni       56.039
Si       13.408
O        30.553
 
Livingstonite    Hg Sb4 S8
Hg       21.246
Sb       51.583
S        27.171
 
Cu4Bi4S9    Cu4 Bi4 S9
Cu       18.437
Bi       60.631
S        20.932
 
Fe2(SO4)3    Fe2 S3 O12
Fe       27.932
S        24.056
O        48.012
 
Laurionite    Pb O H Cl
Pb       79.797
O         6.162
H         0.388
Cl       13.654
 
YbFe2O4    Yb Fe2 O4
Yb       49.620
Fe       32.029
O        18.352
 
Hg2(H2PO4)2    Hg P O4
Hg       67.867
P        10.480
O        21.653
 
Chalcanthite    Cu S O9 H10
Cu       25.450
S        12.843
O        57.670
H         4.037
 
Chalcanthite    Cu S O9 D10
Cu       24.465
S        12.345
O        55.438
D         7.752
 
Stannoidite    Zn.85 Fe2.15 Cu8 Sn2 S12
Zn        4.255
Fe        9.192
Cu       38.919
Sn       18.176
S        29.458
 
Chlorothionite    Cu K2 Cl2 S O4
Cu       20.584
K        25.330
Cl       22.968
S        10.387
O        20.731
 
Imhofite    Tl1.4 As3.75 S6.33
Tl       37.157
As       36.484
S        26.358
 
Mikasaite    Fe2 S3 O12
Fe       27.932
S        24.056
O        48.012
 
Christite    Tl Hg As S3
Tl       35.477
Hg       34.819
As       13.005
S        16.698
 
Clinohedrite    Ca Zn Si O5 H2
Ca       18.592
Zn       30.334
Si       13.029
O        37.110
H         0.935
 
Trimerite    Ca Mn2 Be3 Si3 O12
Ca        8.843
Mn       24.242
Be        5.965
Si       18.590
O        42.360
 
Nyerereite    Ca Na1.64 K.36 C2 O3
Ca       24.456
Na       23.007
K         8.589
C        14.659
O        29.289
 
Nyerereite    Ca Na1.64 K.36 C2 O6
Ca       18.916
Na       17.795
K         6.643
C        11.338
O        45.308
 
Domeykite    Cu3 As
Cu       71.787
As       28.213
 
Bicchulite    Ca2 (Al2 Si) O8 H2
Ca       27.430
Al       18.467
Si        9.611
O        43.802
H         0.690
 
Tainiolite    K.967 (Mg2.034 Li.966) Si4 O10 F2
K         9.352
Mg       12.228
Li        1.658
Si       27.788
O        39.575
F         9.399
 
Hemimorphite    Zn2 Si O5 H2
Zn       54.293
Si       11.660
O        33.211
H         0.837
 
Ag8GeTe6    Ag8.012 Ge Te6
Ag       50.764
Ge        4.265
Te       44.970
 
Ag8GeTe6    Ag7.946 Ge Te6
Ag       50.558
Ge        4.283
Te       45.159
 
PbGe3O7    Pb Ge3 O7
Pb       38.583
Ge       40.562
O        20.855
 
Pb3GeO5    Pb3 Ge O5
Pb       80.289
Ge        9.379
O        10.333
 
Posnjakite    Cu4 S O11 H8
Cu       54.046
S         6.818
O        37.421
H         1.715
 
Bi2Ge3O9    Bi2 Ge3 O9
Bi       53.599
Ge       27.935
O        18.466
 
ScAlO3    Sc Al O3
Sc       37.483
Al       22.497
O        40.020
 
Coesite    Si O2
Si       46.743
O        53.257
 
AgClO4    Ag Cl O4
Ag       52.030
Cl       17.101
O        30.869
 
Chantalite    Ca Al2 Si O8 H4
Ca       15.769
Al       21.232
Si       11.051
O        50.361
H         1.586
 
Zabuyelite    Li2 C O3
Li       18.787
C        16.255
O        64.958
 
Cattierite    (Co.8 Fe.11 Ni.09) S2
Co       38.423
Fe        5.007
Ni        4.305
S        52.266
 
Na3SbS4*9H2O    Na3 Sb S4 O9 D18
Na       13.815
Sb       24.388
S        25.693
O        28.844
D         7.260
 
Ca3Mn2Si4O14    Ca3 Mn2 Si4 O14
Ca       21.226
Mn       19.398
Si       19.833
O        39.543
 
Chalcocite    Cu2 S
Cu       79.853
S        20.147
 
Djurleite    Cu31 S16
Cu       79.337
S        20.663
 
Bicchulite    Ca2 (Si Al2) O8 H2
Ca       27.430
Si        9.611
Al       18.467
O        43.802
H         0.690
 
Cattiite    Mg3 P2 O30 H44
Mg       11.061
P         9.397
O        72.813
H         6.728
 
Herzenbergite    Sn S
Sn       78.733
S        21.267
 
SnSe    Sn Se
Sn       60.055
Se       39.945
 
Talc    Si4 Mg3 O12 H2
Si       29.621
Mg       19.225
O        50.622
H         0.532
 
Tschermigite    N H28 Al S2 O20
N         3.090
H         6.226
Al        5.952
S        14.147
O        70.586
 
Magnesio-hastingsite    Na.73 K.35 Ca1.9 Fe1.654 Mg3.136 Ti.315 (Si5.94 Al2.06) O24 H2
Na        1.867
K         1.523
Ca        8.473
Fe       10.278
Mg        8.481
Ti        1.678
Si       18.563
Al        6.185
O        42.727
H         0.224
 
Gebhardite    Pb8 Cl6 As4 O11
Pb       70.657
Cl        9.067
As       12.774
O         7.502
 
Makatite    Na Si2 O7 H5
Na       11.718
Si       28.630
O        57.084
H         2.569
 
Rebulite    Tl5 Sb4.45 As8.55 S22
Tl       35.121
Sb       18.620
As       22.015
S        24.245
 
Petalite    Li Al Si4 O10
Li        2.266
Al        8.810
Si       36.682
O        52.241
 
Gerhardtite    Cu2 N O6 H3
Cu       52.929
N         5.833
O        39.979
H         1.259
 
Sb2MoO6    Sb2 Mo O6
Sb       55.921
Mo       22.033
O        22.046
 
Sb2MoO6    Sb2 Mo O6
Sb       55.921
Mo       22.033
O        22.046
 
Natrochalcite    Na Cu2 S2 O10 H3.8
Na        6.081
Cu       33.619
S        16.964
O        42.322
H         1.013
 
RbCu2(OH)(SeO4)2(H2O)    Rb Cu2 Se2 O10 H3.8
Rb       15.996
Cu       23.786
Se       29.556
O        29.944
H         0.717
 
RbCu2(OH)(SO4)2(H2O)    Rb Cu2 S2 O10 H3.8
Rb       19.402
Cu       28.851
S        14.558
O        36.320
H         0.869
 
KCu2(OH)(SeO4)2(H2O)    K Cu2 Se2 O10 H2.8
K         8.030
Cu       26.101
Se       32.432
O        32.858
H         0.580
 
NaCu2(OH)(SeO4)2(H2O)    Na Cu2 Se2 O10 H2.8
Na        4.883
Cu       26.994
Se       33.542
O        33.982
H         0.599
 
KCu2(OH)(SO4)2(H2O)    K Cu2 S2 O10 H3.9
K         9.917
Cu       32.237
S        16.267
O        40.582
H         0.997
 
Senandorite    Pb Ag Sb3 S6
Pb       23.742
Ag       12.360
Sb       41.852
S        22.046
 
Takeuchiite    Mg20.58 Mn15.42 B12 O60
Mg       20.525
Mn       34.761
B         5.323
O        39.391
 
Vaesite    Ni S2
Ni       47.785
S        52.215
 
Vaesite    Ni S2
Ni       47.785
S        52.215
 
Cattierite    Ni S2
Ni       47.785
S        52.215
 
Anthophyllite    Na.01 Ca.02 Mg5.71 Fe1.24 Mn.02 (Si7.95 Al.05) O24 H2
Na        0.028
Ca        0.098
Mg       16.908
Fe        8.437
Mn        0.134
Si       27.203
Al        0.164
O        46.782
H         0.246
 
Tokkoite    K1.85 Ca3.43 Ti.13 Na.15 Fe.15 Mn.08 Mg.06 Si7 O19.39 F.61 H2
K         9.591
Ca       18.229
Ti        0.825
Na        0.457
Fe        1.111
Mn        0.583
Mg        0.193
Si       26.069
O        41.137
F         1.537
H         0.267
 
Gravegliaite    Mn S O6 H6
Mn       29.060
S        16.962
O        50.779
H         3.199
 
Acuminite    Sr Al F4 O2 H3
Sr       38.836
Al       11.959
F        33.682
O        14.183
H         1.340
 
Alarsite    Al As O4
Al       16.264
As       45.160
O        38.576
 
Alarsite    Al As O4
Al       16.264
As       45.160
O        38.576
 
Alarsite    Al As O4
Al       16.264
As       45.160
O        38.576
 
Alarsite    Al As O4
Al       16.264
As       45.160
O        38.576
 
Alarsite    Al As O4
Al       16.264
As       45.160
O        38.576
 
Cerussite    Pb C O3
Pb       77.542
C         4.495
O        17.963
 
Vinogradovite    (Ti.93 Nb.07) Si1.75 Al.15 Be.1 Na1.27 O7.219 H3
Ti       17.611
Nb        2.572
Si       19.438
Al        1.601
Be        0.356
Na       11.547
O        45.679
H         1.196
 
Vinogradovite    (Ti.93 Nb.07) Si1.75 Al.15 Be.1 Na1.27 O7.223 H3
Ti       17.606
Nb        2.571
Si       19.433
Al        1.600
Be        0.356
Na       11.544
O        45.693
H         1.196
 
Downeyite    Se O2
Se       71.162
O        28.838
 
Downeyite    Se O2
Se       71.162
O        28.838
 
Hessite    Ag2 Te
Ag       62.835
Te       37.165
 
Ag2Te    Ag2 Te
Ag       62.835
Te       37.165
 
Ag2Te    Ag2 Te
Ag       62.835
Te       37.165
 
Ag2Te    Ag2 Te
Ag       62.835
Te       37.165
 
Ag2Te    Ag2 Te
Ag       62.835
Te       37.165
 
(Cu0.85Fe0.15)(Re2.85Mo1.15)S8    (Cu.85 Fe.15) (Re2.84 Mo1.16) S8
Cu        5.632
Fe        0.873
Re       55.142
Mo       11.604
S        26.748
 
Bismoclite    Bi O Cl
Bi       80.244
O         6.143
Cl       13.613
 
Gustavite    Pb Ag Bi3 S6
Pb       18.265
Ag        9.509
Bi       55.266
S        16.960
 
Natrochalcite    Na Cu2 S2 O10 H3
Na        6.094
Cu       33.691
S        17.001
O        42.413
H         0.802
 
RbCu2(SO4)2(OH)(H2O)    Rb Cu2 S2 O10 H3
Rb       19.437
Cu       28.904
S        14.585
O        36.386
H         0.688
 
Britholite-(Ce)    (Ca2.15 Ce2.85) Si3 O12.16 F.84 H
Ca       11.029
Ce       51.113
Si       10.785
O        24.902
F         2.043
H         0.129
 
Britholite-(Ce)    (Ca2.43 Ce2.57) Si3 O12.1 F.8 H
Ca       12.959
Ce       47.914
Si       11.211
O        25.759
F         2.022
H         0.134
 
Britholite-(Y)    Y4.48 Lu.32 Ca.2 Si3 O12.07 F.93 H
Y        52.522
Lu        7.383
Ca        1.057
Si       11.111
O        25.465
F         2.330
H         0.133
 
Britholite-(Y)    Y4.63 Ca.23 Lu.14 Si3 O12.07 F.93 H
Y        55.522
Ca        1.243
Lu        3.304
Si       11.365
O        26.047
F         2.383
H         0.136
 
Benyacarite    Mn1.5 Fe1.78 Mg.08 Ti1.56 Al.14 P4 F.8 O32.76 K.32 H24
Mn        8.565
Fe       10.332
Mg        0.202
Ti        7.763
Al        0.393
P        12.877
F         1.580
O        54.475
K         1.300
H         2.514
 
Biehlite    (Sb1.79 As.21) Mo O6
Sb       51.206
As        3.697
Mo       22.542
O        22.555
 
Xonotlite    Ca6 Si6 O19
Ca       33.728
Si       23.635
O        42.637
 
Xonotlite    Ca6 Si6 O19
Ca       33.728
Si       23.635
O        42.637
 
Xonotlite    Ca6 Si6 O19
Ca       33.728
Si       23.635
O        42.637
 
Actinium    Ac
Ac      100.000
 
Silver    Ag
Ag      100.000
 
Aluminum    Al
Al      100.000
 
Americium    Am
Am      100.000
 
Argon    Ar
Ar      100.000
 
Gold    Au
Au      100.000
 
Calcium    Ca
Ca      100.000
 
Cerium    Ce
Ce      100.000
 
Cobalt    Co
Co      100.000
 
Chromium    Cr
Cr      100.000
 
Copper    Cu
Cu      100.000
 
Iron    Fe
Fe      100.000
 
Iridium    Ir
Ir      100.000
 
Krypton    Kr
Kr      100.000
 
Lanthanum    La
La      100.000
 
Lithium    Li
Li      100.000
 
Molybdenum    Mo
Mo      100.000
 
Neon    Ne
Ne      100.000
 
Nickel    Ni
Ni      100.000
 
Lead    Pb
Pb      100.000
 
Palladium    Pd
Pd      100.000
 
Praseodymium    Pr
Pr      100.000
 
Platinum    Pt
Pt      100.000
 
Plutonium    Pu
Pu      100.000
 
Rhodium    Rh
Rh      100.000
 
Scandium    Sc
Sc      100.000
 
Strontium    Sr
Sr      100.000
 
Thorium    Th
Th      100.000
 
Xenon    Xe
Xe      100.000
 
Ytterbium    Yb
Yb      100.000
 
Beryllium    Be
Be      100.000
 
Calcium-beta    Ca
Ca      100.000
 
Cadmium    Cd
Cd      100.000
 
Cerium    Ce
Ce      100.000
 
Cobalt    Co
Co      100.000
 
Chromium    Cr
Cr      100.000
 
Dysprosium    Dy
Dy      100.000
 
Dysprosium    Dy
Dy      100.000
 
Erbium    Er
Er      100.000
 
Erbium    Er
Er      100.000
 
Gadolinium    Gd
Gd      100.000
 
Gadolinium    Gd
Gd      100.000
 
Helium    He
He      100.000
 
Hafnium    Hf
Hf      100.000
 
Holmium    Ho
Ho      100.000
 
Lanthanum    La
La      100.000
 
Lithium    Li
Li      100.000
 
Lutetium    Lu
Lu      100.000
 
Magnesium    Mg
Mg      100.000
 
Sodium    Na
Na      100.000
 
Neodymium    Nd
Nd      100.000
 
Nickel    Ni
Ni      100.000
 
Osmium    Os
Os      100.000
 
Praseodymium    Pr
Pr      100.000
 
Rhenium    Re
Re      100.000
 
Ruthenium    Ru
Ru      100.000
 
Scandium    Sc
Sc      100.000
 
Strontium-beta    Sr
Sr      100.000
 
Terbium    Tb
Tb      100.000
 
Titanium    Ti
Ti      100.000
 
Thallium    Tl
Tl      100.000
 
Thallium    Tl
Tl      100.000
 
Thulium    Tm
Tm      100.000
 
Yttrium    Y
Y       100.000
 
Zinc    Zn
Zn      100.000
 
Zirconium    Zr
Zr      100.000
 
Americium    Am
Am      100.000
 
Lanthanum    La
La      100.000
 
Neodymium    Nd
Nd      100.000
 
Praseodymium    Pr
Pr      100.000
 
Barium    Ba
Ba      100.000
 
Barium    Ba
Ba      100.000
 
Calcium-gamma    Ca
Ca      100.000
 
Chromium    Cr
Cr      100.000
 
Cesium    Cs
Cs      100.000
 
Cesium    Cs
Cs      100.000
 
Europium    Eu
Eu      100.000
 
Europium    Eu
Eu      100.000
 
Iron-alpha    Fe
Fe      100.000
 
Iron-beta    Fe
Fe      100.000
 
Iron-delta    Fe
Fe      100.000
 
Potassium    K
K       100.000
 
Potassium    K
K       100.000
 
Lithium    Li
Li      100.000
 
Lithium    Li
Li      100.000
 
Molybdenum    Mo
Mo      100.000
 
Sodium    Na
Na      100.000
 
Sodium    Na
Na      100.000
 
Niobium    Nb
Nb      100.000
 
Neptunium-gamma    Np
Np      100.000
 
Plutonium-epsilon    Pu
Pu      100.000
 
Rubidium    Rb
Rb      100.000
 
Rubidium    Rb
Rb      100.000
 
Strontium-gamma    Sr
Sr      100.000
 
Tantalum    Ta
Ta      100.000
 
Thorium    Th
Th      100.000
 
Titanium-beta    Ti
Ti      100.000
 
Thallium    Tl
Tl      100.000
 
Uranium-gamma    U
U       100.000
 
Vanadium    V
V       100.000
 
Tungsten    W
W       100.000
 
Zirconium    Zr
Zr      100.000
 
Boron    B25
B       100.000
 
Boron    B
B       100.000
 
Gallium    Ga
Ga      100.000
 
Gallium    Ga
Ga      100.000
 
Diamond    C
C       100.000
 
Silicon    Si
Si      100.000
 
Silicon    Si
Si      100.000
 
Germanium    Ge
Ge      100.000
 
Tin-alpha    Sn
Sn      100.000
 
Graphite    C
C       100.000
 
Tin    Sn
Sn      100.000
 
Nitrogen    N
N       100.000
 
Phosphorus    P
P       100.000
 
Arsenolamprite    As
As      100.000
 
Arsenic    As
As      100.000
 
Antimony    Sb
Sb      100.000
 
Bismuth    Bi
Bi      100.000
 
Sulfur    S
S       100.000
 
Sulfur    S
S       100.000
 
Selenium    Se
Se      100.000
 
Tellurium    Se
Se      100.000
 
Selenium    Se
Se      100.000
 
Selenium    Se
Se      100.000
 
Tungsten    W
W       100.000
 
Uranium-alpha    U
U       100.000
 
Neptunium-alpha    Np
Np      100.000
 
Neptunium-beta    Np
Np      100.000
 
Plutonium-alpha    Pu
Pu      100.000
 
Plutonium-gamma    Pu
Pu      100.000
 
Manganese-alpha    Mn29
Mn      100.000
 
Manganese-gamma    Mn
Mn      100.000
 
Manganese-delta    Mn
Mn      100.000
 
Manganese-delta    Mn
Mn      100.000
 
Chlorine    Cl
Cl      100.000
 
Bromine    Br
Br      100.000
 
Iodine    I
I       100.000
 
Bromargyrite    Ag Br
Ag       57.446
Br       42.554
 
Chlorargyrite    Ag Cl
Ag       75.263
Cl       24.737
 
AgF    Ag F
Ag       85.025
F        14.975
 
BaO    Ba O
Ba       89.565
O        10.435
 
BaS    Ba S
Ba       81.070
S        18.930
 
BaSe    Ba Se
Ba       63.493
Se       36.507
 
BaTe    Ba Te
Ba       51.836
Te       48.164
 
BiSe    Bi Se
Bi       72.578
Se       27.422
 
BiTe    Bi Te
Bi       62.089
Te       37.911
 
Lime    Ca O
Ca       71.469
O        28.531
 
Oldhamite    Ca S
Ca       55.553
S        44.447
 
CaSe    Ca Se
Ca       33.668
Se       66.332
 
CaTe    Ca Te
Ca       23.902
Te       76.098
 
Monteponite    Cd O
Cd       87.540
O        12.460
 
CeAs    Ce As
Ce       65.159
As       34.841
 
CeBi    Ce Bi
Ce       40.137
Bi       59.863
 
CeN    Ce N
Ce       90.912
N         9.088
 
CeP    Ce P
Ce       81.896
P        18.104
 
CeS    Ce S
Ce       81.377
S        18.623
 
CeSb    Ce Sb
Ce       53.507
Sb       46.493
 
CeSe    Ce Se
Ce       63.958
Se       36.042
 
CeTe    Ce Te
Ce       52.337
Te       47.663
 
CoO    Co O
Co       78.648
O        21.352
 
Carlsbergite    Cr N
Cr       78.779
N        21.221
 
CsCl    Cs Cl
Cs       78.942
Cl       21.058
 
CsF    Cs F
Cs       87.493
F        12.507
 
CsH    Cs H
Cs       99.247
H         0.753
 
DyAs    Dy As
Dy       68.444
As       31.556
 
DyN    Dy N
Dy       92.064
N         7.936
 
DySb    Dy Sb
Dy       57.168
Sb       42.832
 
DyTe    Dy Te
Dy       56.015
Te       43.985
 
ErAs    Er As
Er       69.064
As       30.936
 
ErN    Er N
Er       92.273
N         7.727
 
ErSb    Er Sb
Er       57.873
Sb       42.127
 
ErTe    Er Te
Er       56.725
Te       43.275
 
EuN    Eu N
Eu       91.561
N         8.439
 
EuS    Eu S
Eu       82.576
S        17.424
 
EuO    Eu O
Eu       90.475
O         9.525
 
EuSe    Eu Se
Eu       65.807
Se       34.193
 
EuTe    Eu Te
Eu       54.358
Te       45.642
 
Wustite    Fe O
Fe       77.731
O        22.269
 
GdAs    Gd As
Gd       67.730
As       32.270
 
GdN    Gd N
Gd       91.821
N         8.179
 
GdSb    Gd Sb
Gd       56.362
Sb       43.638
 
GdSe    Gd Se
Gd       66.572
Se       33.428
 
HfC    Hf C
Hf       93.695
C         6.305
 
HoAs    Ho As
Ho       68.763
As       31.237
 
HoBi    Ho Bi
Ho       44.110
Bi       55.890
 
HoN    Ho N
Ho       92.172
N         7.828
 
HoP    Ho P
Ho       84.189
P        15.811
 
HoS    Ho S
Ho       83.723
S        16.277
 
HoSb    Ho Sb
Ho       57.531
Sb       42.469
 
HoSe    Ho Se
Ho       67.625
Se       32.375
 
HoTe    Ho Te
Ho       56.381
Te       43.619
 
KBr    K Br
K        32.855
Br       67.145
 
Sylvite    K Cl
K        52.445
Cl       47.555
 
Carobbiite    K F
K        67.299
F        32.701
 
KH    K H
K        97.487
H         2.513
 
KI    K I
K        23.553
I        76.447
 
KOH    K (O H)
K        69.687
O        28.517
H         1.797
 
LaAs    La As
La       64.962
As       35.038
 
LaBi    La Bi
La       39.928
Bi       60.072
 
LaN    La N
La       90.840
N         9.160
 
LaP    La P
La       81.767
P        18.233
 
LaS    La S
La       81.245
S        18.755
 
LaSb    La Sb
La       53.291
Sb       46.709
 
LaSe    La Se
La       63.757
Se       36.243
 
LaTe    La Te
La       52.121
Te       47.879
 
LiBr    Li Br
Li        7.992
Br       92.008
 
LiCl    Li Cl
Li       16.373
Cl       83.627
 
LiD    Li D
Li       77.514
D        22.486
 
Griceite    Li F
Li       26.759
F        73.241
 
LiH    Li H
Li       87.320
H        12.680
 
LiI    Li I
Li        5.186
I        94.814
